,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Zeya,RU,1513961988,53.74,127.27,-15.55,56,2.98,68
1,Vardo,NO,1513957800,70.37,31.11,30.2,79,13.87,40
2,Luangwa,ZM,1513961988,-12.88,28.25,71.98,77,4.21,0
3,Nevyansk,RU,1513961988,57.49,60.21,18.43,92,5.61,48
4,Thai Binh,VN,1513961989,20.45,106.33,58.21,96,4.5,92
5,Constitucion,CL,1513961989,-35.33,-72.42,61.63,77,18.7,0
6,Wanning,CN,1513961762,18.8,110.4,71.08,100,12.55,100
7,Zhanaozen,KZ,1513961990,43.35,52.85,31.71,88,3.76,80
8,Taksimo,RU,1513961899,56.36,114.84,-8.75,56,2.26,36
9,Damghan,IR,1513961990,36.17,54.34,37.15,82,2.71,56
10,Gornopravdinsk,RU,1513961991,60.06,69.92,21.72,88,6.06,88
11,La Libertad,SV,1513957800,13.49,-89.32,89.6,46,4.7,20
12,Orotukan,RU,1513961992,62.26,151.67,-32.02,70,2.86,48
13,Cockburn Town,BS,1513961993,24.03,-74.52,76.93,100,8.08,76
14,Verkhnyaya Toyma,RU,1513961993,62.24,45.0,23.61,89,5.77,88
15,Sorland,NO,1513959600,67.67,12.69,35.6,69,14.99,40
16,Bamenda,CM,1513961993,5.96,10.15,79.77,28,3.98,92
17,Ayni,TJ,1513961994,39.39,68.54,27.21,68,3.53,76
18,Carnarvon,AU,1513961995,-24.87,113.63,75.13,96,15.68,0
19,Ganzhou,CN,1513961995,25.86,114.93,43.68,81,2.19,88
20,Ouro Sogui,SN,1513958400,15.61,-13.32,77.0,23,6.93,0
21,Bluff,NZ,1513961427,-46.6,168.33,59.25,98,3.53,56
22,Bubaque,GW,1513958400,11.28,-15.83,82.4,32,11.41,0
23,Haines Junction,CA,1513961922,60.75,-137.51,-21.8,39,1.81,0
24,Gharo,PK,1513959900,24.74,67.58,66.2,37,6.93,0
25,New Castle,US,1513961460,41.0,-80.35,53.6,93,9.17,90
26,Shingu,JP,1513961897,33.72,135.99,49.26,100,10.58,12
27,Libenge,CD,1513961997,3.65,18.64,81.03,66,2.48,8
28,Jardim de Piranhas,BR,1513961997,-6.38,-37.35,80.98,75,7.63,48
29,Maues,BR,1513961998,-3.38,-57.72,89.94,60,3.87,44
